MT11SAA10AH001;;GT11 HVAC INSTALLATION;2;4;2;2;4;2;5;3.23;2;6.46;8;51.67;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11BAA10GA001;;GT11 IPB - GENERATOR LEADS NEUTRAL POINT;2;5;3;2;2;2;2;2.78;6;16.66;2;33.33;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11BAA50GA001;;GT11 IPB - GENERATOR LEADS TO CIRCUIT BREAKER;2;5;3;2;2;2;2;2.78;6;16.66;2;33.33;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11MBN31AA001;;GT11 MOV FUEL OIL MAIN SHUT-OFF VALVE;8;2;4;2;2;4;2;4.00;4;16.00;2;32.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11MKC50GT001                ;;GT11 GENERATOR EXC.BRUSH GEAR & TRANSFORMATOR;8;2;4;2;2;4;2;4.00;4;16.00;2;32.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11MKF10AN001;;GT11 COOLER GRUP 1;8;2;4;2;2;4;2;4.00;4;16.00;2;32.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11MKF10AN002;;GT11 COOLER GRUP 2;8;2;4;2;2;4;2;4.00;4;16.00;2;32.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11MKF10AN003;;GT11 COOLER GRUP 3;8;2;4;2;2;4;2;4.00;4;16.00;2;32.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11MKF10AP001;;GT11 COOLING WATER PUMP 1;8;2;4;2;2;4;2;4.00;4;16.00;2;32.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11BUE10GH001;;GT11 MCC FOR 24 VDC SYSTEM UNIT 1;2;2;2;4;2;4;2;2.73;2;5.45;2;10.90;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11BUF10GH001;;GT11 MCC FOR 24 VDC SYSTEM UNIT 2;2;2;2;4;2;4;2;2.73;2;5.45;2;10.90;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11BUG10GH001;;GT11 MCC FOR 24 VDC SYSTEM UNIT 3;2;2;2;4;2;4;2;2.73;2;5.45;2;10.90;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11BUC10GH001;;GT11 MCC FOR 220 VDC SYSTEM UNIT 3;2;2;2;4;2;2;2;2.39;2;4.78;2;9.56;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11CBP10GH001;;GT11 SYNCHRONATION & KWH METERING;2;2;2;2;2;4;2;2.39;2;4.78;2;9.56;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11CHA10GH001;;GT11 PROTECTION GENERATOR TRANSFORMATOR ;2;2;2;2;2;4;2;2.39;2;4.78;2;9.56;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11CUA10GH001;;GT11 STATIC EXCITATION GENERATOR;2;2;2;2;2;4;2;2.39;2;4.78;2;9.56;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11MKA10HA100;;GT11 GENERATOR STATOR;2;2;2;2;2;2;2;2.00;2;4.00;2;8.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11MKA10HB100;;GT11 GENERATOR ROTOR;2;2;2;2;2;2;2;2.00;2;4.00;2;8.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT11SGJ01KD000;;GT11 CO2 UNIT;2;2;2;2;2;2;2;2.00;2;4.00;2;8.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12CYE10GH001;;GT12 FIRE CONTROL UNIT;8;6;6;2;6;2;5;5.41;6;32.47;8;259.76;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12BTA10GR001;;GT12 BATTERY BANK 220 VDC UNIT A;8;2;4;2;2;4;2;4.00;4;16.00;10;160.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12BTB10GR001;;GT12 BATTERY BANK 220 VDC UNIT B;8;2;4;2;2;4;2;4.00;4;16.00;10;160.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12MKB10GS100                ;;GT12 GENERATOR EXC.BREAKER;4;4;4;4;2;4;2;3.55;6;21.27;6;127.64;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12BAC20GS001;;GT12 BREAKER GENERATOR;4;2;4;2;2;4;2;3.02;4;12.09;6;72.57;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12BJA40GH001;;GT12 LOW VOLTAGE DISTR BJA40;4;2;2;2;2;2;1;2.30;4;9.20;6;55.18;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12MBN31AA001;;GT12 MOV FUEL OIL MAIN SHUT-OFF VALVE;8;2;4;4;2;4;2;4.21;4;16.84;2;33.67;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12BAA50GA001;;GT12 IPB - GENERATOR LEADS TO CIRCUIT BREAKER;8;2;4;2;2;4;2;4.00;4;16.00;2;32.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12BBT10GT100                ;;GT12 UNIT AUX TRANSFORMER ;8;2;4;2;2;4;2;4.00;4;16.00;2;32.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12BBT20GT100                ;;GT12 STATION SERVICE TRANSFORMER ;8;2;4;2;2;4;2;4.00;4;16.00;2;32.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12BCA10GH001;;GT12 START-UP SELECTION DEVICE (SSD) ;8;2;4;2;2;4;2;4.00;4;16.00;2;32.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12BJA00GS401;;GT12 BREAKER COUPLING TO BFB;8;2;4;2;2;4;2;4.00;4;16.00;2;32.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
MT12BJA10GH001;;GT12 LOW VOLTAGE DISTR BJA10;8;2;4;2;2;4;2;4.00;4;16.00;2;32.00;2;not yet defined;2021-05-21 14:52;2021-05-21 14:52
